postcode_sector
EX22 6
EX22 7
EX23 0
EX23 3
EX23 8
EX23 9
PL10 1
PL11 2
PL11 3
PL12 4
PL12 5
PL12 6
PL12 9
PL13 1
PL13 2
PL13 9
PL14 3
PL14 4
PL14 5
PL14 6
PL14 9
PL15 0
PL15 7
PL15 8
PL15 9
PL17 0
PL17 7
PL17 8
PL18 9
PL22 0
PL23 1
PL24 2
PL25 3
PL25 4
PL25 5
PL25 9
PL26 6
PL26 7
PL26 8
PL27 6
PL27 7
PL27 9
PL28 8
PL29 3
PL30 3
PL30 4
PL30 5
PL31 1
PL31 2
PL31 9
PL32 9
PL33 9
PL34 0
PL35 0
TR1 1
TR1 2
TR1 3
TR1 9
TR10 8
TR10 9
TR11 2
TR11 3
TR11 4
TR11 5
TR11 9
TR12 6
TR12 7
TR13 0
TR13 3
TR13 8
TR13 9
TR14 0
TR14 4
TR14 7
TR14 8
TR14 9
TR15 1
TR15 2
TR15 3
TR15 9
TR16 4
TR16 5
TR16 6
TR17 0
TR18 2
TR18 3
TR18 4
TR18 5
TR18 9
TR19 6
TR19 7
TR2 4
TR2 5
TR20 8
TR20 9
TR21 0
TR26 1
TR26 2
TR26 3
TR26 9
TR27 4
TR27 5
TR27 6
TR27 9
TR3 6
TR3 7
TR4 8
TR4 9
TR5 0
TR6 0
TR7 1
TR7 2
TR7 3
TR7 9
TR8 4
TR8 5
TR9 6
